Fertility,Magma_Series,Deposit,AUTHOR,Si,Al,Fe,Mg,Ca,Na,K,Ti,Mn,Sr,Y,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu
1,K,Altar,Maydagan,286350.6324,95688.52533,28186.58155,10553.12819,23013.04269,50743.05137,15855.82254,4315.268864,697.0118717,1096.7,6.9,17.4,41.5,5.08,20.5,3.5,0.99,2.27,0.29,1.483693038,0.22,0.58,0.09,0.54,0.09
1,K,Altar,Maydagan,282190.4616,95053.42449,28396.40722,9708.877939,21726.59931,50817.23711,14444.57132,4255.334574,929.3491622,822.1,7.5,19.8,46.2,5.86,22.8,3.91,1.13,2.46,0.31,1.596892028,0.24,0.65,0.09,0.59,0.09
1,K,Altar,Maydagan,313929.2927,85315.21174,24409.7195,5186.108713,6503.685977,40876.34693,28557.08353,3476.188807,542.1203446,574.8,7.5,18.5,36.1,4.34,17.5,3.35,0.72,2.29,0.31,1.641946973,0.26,0.76,0.1,0.8,0.12
1,K,Altar,Maydagan,295933.0482,92407.17103,33642.04894,10010.39589,11649.4595,47998.1787,17599.13287,4195.400284,774.4576352,864.4,6.2,23.3,49.6,5.74,21.8,3.32,0.99,2.02,0.28,1.472148489,0.23,0.62,0.09,0.67,0.09
1,K,Altar,Maydagan,291679.3905,95212.1997,26368.09241,7779.163069,8719.227354,49407.70791,22081.93087,3655.991676,1316.57798,553.7,7.3,17.9,46.8,5.22,20.3,3.26,0.91,2.17,0.28,1.494675961,0.24,0.6,0.08,0.59,0.08
1,K,Altar,Maydagan,292287.0559,94524.1738,25577.23138,8261.591787,29874.07405,41914.9474,15025.67476,3655.991676,464.6745811,946.7,7.1,20.7,49.2,5.66,22,3.51,0.98,2.32,0.28,1.494675961,0.24,0.68,0.09,0.6,0.09
1,K,Altar,Maydagan,297054.892,94418.32366,24759.42895,8321.895376,30159.95035,40579.60394,14942.65999,3955.663125,387.2288176,1019.5,7.2,19.5,42.2,5.49,22.3,3.53,0.99,2.25,0.28,1.472148489,0.23,0.59,0.08,0.58,0.09
1,K,Altar,Maydagan,291118.4686,93677.37269,27836.8721,10975.25332,17652.86194,42434.24763,14776.63043,3835.794545,232.3372906,1069.1,5.4,17.1,38.3,4.95,19.7,3.22,0.81,1.94,0.25,1.302350005,0.2,0.48,0.06,0.5,0.07
1,K,Altar,Maydagan,291959.8514,95212.1997,27627.04643,8502.806145,29159.38328,46217.72076,13780.4531,4495.071733,387.2288176,1175.3,6.9,18.9,42.4,5.45,22.5,3.66,0.98,2.37,0.29,1.461165566,0.21,0.54,0.07,0.51,0.08
1,K,Altar,Maydagan,283873.2273,91877.92034,28396.40722,8744.020504,34305.1568,39244.26049,12950.30532,4135.465994,1084.240689,855.5,7.1,17.6,38.8,5.21,21.1,3.57,0.95,2.29,0.3,1.540292533,0.23,0.6,0.08,0.59,0.09
1,CA,Andacollo,Richards,293502.3866,83886.23487,31869.49853,15859.84409,32089.61542,25668.26867,19176.41365,2930.78677,371.7396649,584,13,16.3,31.9,3.86,15.4,3.09,1.03,2.55,0.38,2.06,0.39,1.09,0.163,1.07,0.17
1,CA,Andacollo,Richards,290043.3682,83939.15994,32677.02498,20442.9169,37664.2034,32196.61446,12286.1871,3098.602781,735.7347534,507,14,15.9,35.3,4.75,19.6,4.06,1.19,3.28,0.44,2.45,0.46,1.29,0.201,1.33,0.21
1,CA,Balsapamba,Shutte et al ,315667.9225,87495.371,29280.37793,9188.616999,33737.43544,28887.68825,8680.810219,2327.852849,385.6410168,402,6.5,7.50108188,14.7454557,1.811876607,7.844850165,1.700457658,0.564084362,1.430214211,0.19496697,1.113997199,0.228006013,0.619930821,0.089635827,0.594954114,0.090635711
1,CA,Balsapamba,Shutte et al ,315722.5252,87231.53413,31094.75854,9139.574435,33350.56884,28404.74687,9684.573342,2270.900896,386.1063032,396,6.9,7.481847339,15.22872254,1.676538047,8.018410879,1.877318717,0.597407253,1.425827152,0.263281703,1.099950698,0.19774541,0.685721217,0.090764977,0.645830631,0.10482001
1,CA,Balsapamba,Shutte et al ,316219.6304,89903.58053,18407.09946,12153.59462,33419.85967,28061.50741,10714.3124,2737.150887,384.444108,393,3.5,3.508561666,6.552623337,0.834801154,3.486093105,0.842828778,0.443960337,0.806849745,0.10682791,0.665242682,0.118304075,0.326362028,0.055891207,0.36181458,0.065725664
1,CA,Balsapamba,Shutte et al ,308778.0308,84939.71218,40161.46717,12307.82572,35292.64111,25407.57594,10248.52598,2565.831488,616.8391964,333,10.7,6.319565892,13.27487779,1.75861998,7.440970507,1.801574228,0.505670525,1.609233142,0.267634966,1.799132924,0.332253375,1.057835465,0.14950903,0.961150983,0.175911437
1,CA,Balsapamba,Shutte et al ,306751.6828,87105.97385,34736.44966,11941.1799,33353.54608,26132.12577,12142.93706,2504.814989,462.3809319,348,8,8.326786112,16.69152223,2.050607743,8.242221139,1.639594718,0.533531575,1.044943791,0.183918173,1.171129819,0.243726326,0.783300601,0.106578644,0.814355761,0.142086066
1,CA,Balsapamba,Shutte et al ,306755.5733,87067.32897,44184.74207,12108.49934,33460.68799,25146.10036,10974.95727,2561.766883,461.8965319,340,8.7,5.261433716,10.48088491,1.276602909,5.016529224,1.12491662,0.499847534,1.12132523,0.197820367,1.240774699,0.296574876,0.85151975,0.145729995,0.978668885,0.150395199
1,CA,Balsapamba,Shutte et al ,289921.8417,97717.77706,30692.14751,19553.44952,31890.63389,29792.56995,17368.82067,3922.398965,537.5615153,348,2.4,1.987967729,3.971326445,0.451278003,2.208565594,0.435742518,0.392772356,0.340281457,0.070252306,0.3807206,0.076184738,0.263459155,0.039015012,0.322179998,0.048153043
1,CA,Balsapamba,Shutte et al ,307787.2707,85191.23672,43523.20159,12036.2083,33142.51981,24530.99612,10551.54005,2559.141455,384.5193001,335,9,5.454208913,10.27290378,1.237590838,5.02241243,0.967656564,0.396489123,1.137475077,0.155490099,1.221682258,0.279177369,0.892236184,0.140059627,0.978821948,0.183454803
1,CA,Balsapamba,Shutte et al ,269378.356,94428.72391,56117.90721,18997.42734,36760.41961,23154.3251,16466.15478,3846.147325,451.8096781,344,10.6,4.867995859,11.37340611,1.420356822,7.372519817,2.051272249,0.600595393,2.185914247,0.360242808,1.802683779,0.339496701,0.888404294,0.133636714,0.766999807,0.112293475
0,CA,Batu-Hijau,Fiorentini & Garwin,254471.5708,100028.381,66514.7371,27076.31177,56460.57057,16543.42172,913.1625547,4195.400284,929.3491622,383,12,3.88,9.5,1.22,6.57,2.06,0.867,2.34,0.4,2.58,0.55,1.67,0.257,1.58,0.263
0,CA,Batu-Hijau,Fiorentini & Garwin,249049.3257,93941.99804,66584.67899,30393.0092,65394.20515,20697.82358,747.1329993,5094.414631,1084.240689,379,13,2.25,6.32,1,5.38,1.71,0.715,1.9,0.35,2.2,0.45,1.34,0.2,1.33,0.208
1,CA,Batu-Hijau,Fiorentini & Garwin,275459.3987,97487.97768,41685.36626,16462.87998,46311.96168,28709.88433,6641.182216,3476.188807,1084.240689,552,9,9.54,21,2.674,11.5,2.48,0.777,2.42,0.36,1.96,0.39,1.24,0.18,1.15,0.187
1,CA,Batu-Hijau,Fiorentini & Garwin,322436.6082,74518.4976,23990.06817,8140.984607,16152.01133,27671.28386,19840.53187,2756.977329,309.7830541,542,23,12.1,27,3.338,14,3.37,0.728,3.57,0.61,3.68,0.76,2.45,0.39,2.59,0.405
1,CA,Batu-Hijau,Fiorentini & Garwin,307852.6387,84521.3357,31333.96658,14111.03999,39450.93032,28784.07007,8550.522103,2577.17446,851.9033987,407,10,8.1,16.9,2.054,8.65,1.99,0.675,1.96,0.32,1.73,0.34,1.04,0.157,1.09,0.171
1,CA,Batu-Hijau,Fiorentini & Garwin,307899.3822,84574.26077,34551.29351,14412.55793,38235.95602,26484.3119,5561.990106,2637.10875,1006.794926,406,10,8.42,18.3,2.201,9.11,2.07,0.718,2.2,0.33,1.85,0.38,1.13,0.164,1.06,0.185
1,CA,Batu-Hijau,Fiorentini & Garwin,316733.9022,85103.51146,24619.54517,8382.198966,25585.92945,37167.05955,6226.108327,1798.028693,387.2288176,446,10,8,18,2.19,9.48,1.97,0.613,1.91,0.28,1.62,0.33,1.04,0.165,1.14,0.202
1,K,Bingham Canyon,Grondahl and Zajacz,321886.9048,80505.57991,26695.94124,7141.942575,19747.19176,28840.14522,33325.00615,2497.943577,303.7397675,774.547625,10.9977525,68.7188875,117.3558,11.97183875,40.7565625,5.89201875,1.32070375,3.7911275,0.426518875,2.20578125,0.389842125,1.068540375,0.143536,0.98730825,0.148122375
1,K,Bingham Canyon,Grondahl and Zajacz,284293.1708,88577.03669,44209.81957,21734.56552,34853.28888,25387.15662,32581.15847,3854.997492,658.759318,802.9175,18.35562,63.0576,110.3958,12.09366,42.72647,6.782596,1.53929,5.132805,0.625516,3.26083,0.6148481,1.671715,0.2232186,1.412741,0.2171523
1,K,Bingham Canyon,Grondahl and Zajacz,280326.1441,79037.08124,51587.63094,23472.18934,39556.52588,24964.54267,36006.3731,5157.027384,751.8536951,1048.83,21.1522,98.955,177.494,20.74194,71.29842,10.68239,2.390597,7.169744,0.8520002,4.317948,0.7924107,2.141054,0.2827819,1.84916,0.2731877
1,K,Bingham Canyon,Grondahl and Zajacz,275947.0736,88726.02076,50170.94035,19582.65001,36720.26843,27334.88859,36822.25894,5205.339216,514.7759494,957.0897,23.28409,99.55656,173.0368,19.66642,67.9389,10.144332,2.12086,6.963581,0.8172664,4.142322,0.7764553,2.087474,0.2808343,1.798966,0.2758815
1,K,Bingham Canyon,Grondahl and Zajacz,280518.961,79780.09629,53060.26088,21816.05376,41586.90517,26072.81839,32849.63656,4452.803075,463.3260955,1032.4959,21.14312,73.46258,132.7695,15.28004,55.07091,9.014017,2.215471,6.649804,0.8105411,4.184519,0.7656687,2.024881,0.2650419,1.655428,0.2442011
1,K,Bingham Canyon,Grondahl and Zajacz,272758.5597,85848.96106,53915.08333,25655.96323,39831.34592,26137.2413,32412.89581,4629.314353,990.7342233,969.2423,21.44169,74.76006,133.1338,14.93835,53.81891,8.697614,1.988702,6.421532,0.7684743,3.926831,0.7198822,1.910091,0.2476261,1.575507,0.2379177
1,K,Bingham Canyon,Grondahl and Zajacz,260390.3486,71311.83381,61473.10536,47525.62839,56656.51198,19876.85628,26741.37393,4852.256126,928.2266866,770.0745,19.130525,58.269575,112.6805,12.223875,47.3458375,8.22614125,1.91242875,6.0473775,0.69905425,3.7158825,0.6515855,1.78310125,0.224361875,1.48236125,0.208976625
1,K,Bingham Canyon,Grondahl and Zajacz,270547.8263,59832.32673,56715.79767,49597.57681,58365.11426,19065.98751,27996.4121,4010.219811,1191.153598,771.590625,15.5791125,58.1053,119.501875,13.0611125,49.2114,8.27479875,2.0454675,5.7249275,0.6700455,3.52792,0.61273625,1.65782625,0.211060125,1.42571125,0.198497
1,K,Bingham Canyon,Grondahl and Zajacz,270898.4609,63265.37089,59913.14922,44986.12362,50115.05459,20306.97597,32809.06931,4103.40939,951.715886,784.144625,16.1825625,60.274025,121.342875,13.4141375,50.54725,8.6371825,2.11164375,6.06182375,0.70565075,3.65373875,0.632886625,1.7030225,0.2162605,1.45702625,0.206433625
1,CA,Cangrejos,Shutte et al ,299211.1597,86194.20246,38062.29962,16279.36627,36193.03951,21196.40662,13413.52811,3306.79412,228.908906,285,19,18.90700612,38.4324591,4.305221629,17.9765328,3.864724324,0.826420031,3.556578376,0.49445956,3.171803674,0.673362849,1.834311483,0.27285102,1.80190877,0.247149674
1,CA,Cangrejos,Shutte et al ,287541.4203,87612.83952,40729.24128,17898.03733,39063.57499,21436.90629,14392.89945,3757.292043,227.5823298,317,22.4,18.70503341,38.96062248,4.760107756,19.65700964,4.420885283,0.920579079,4.363548109,0.577556789,3.974662364,0.759439527,2.124342071,0.303336188,1.946906668,0.284049455
1,CA,Cangrejos,Shutte et al ,303313.211,83405.40363,31888.38937,15231.61377,48704.51049,23881.76453,1644.553395,3087.03306,460.2687536,308,22.8,9.330702471,21.78900228,3.024067017,13.66190439,3.229877851,0.75359873,3.259676445,0.533820456,3.501055492,0.740126055,2.234734804,0.32513262,1.986114948,0.318995627
1,CA,Cangrejos,Shutte et al ,301028.465,87323.39364,34963.21359,14868.13181,36299.33168,21949.01125,12444.35025,2955.415837,229.1353807,298,17.4,16.67714487,34.58642083,4.062585486,15.93846443,3.279598418,0.78719083,2.625532879,0.430679961,2.884250245,0.568670339,1.541934671,0.245474627,1.700069231,0.24869061
0,CA,Canicapa,Shutte et al ,327549.5883,80853.35673,21212.07932,4899.020575,18055.54482,29399.0106,19656.47127,1781.348381,537.0910942,329,12.4,16.82669224,29.84800244,3.311721176,12.7639711,2.368664742,0.675326006,2.241907012,0.28173623,1.667912963,0.351930724,0.959573323,0.149435521,1.108940807,0.179067571
0,CA,Canicapa,Shutte et al ,324252.9773,80279.48507,21436.27011,6367.899754,22429.24043,26869.26688,18269.62139,1774.458689,993.5970524,417,11.8,16.24682682,30.05337642,3.422807255,12.57252171,2.107476514,0.610408011,1.923121894,0.264512897,1.759342873,0.364838852,1.023834629,0.157107298,1.214077917,0.169592504
0,CA,Canicapa,Shutte et al ,321082.1269,82554.78387,22091.2175,6179.828157,20986.22524,28289.8951,18895.88701,1771.725811,457.8769806,401,11.9,16.97337699,30.55729754,3.472509568,12.20489286,2.458164529,0.593913132,1.606475396,0.302756865,1.905786786,0.345759561,1.031816739,0.157201305,1.158250844,0.200253248
1,CA,Chaucha,Shutte et al ,301431.8741,92998.83043,40360.46455,9135.882221,34975.45737,29206.62081,9928.883027,3524.448053,308.7602589,611,8.3,12.2929074,25.38496122,3.095515242,13.41360038,2.936796807,0.924267878,2.620170577,0.325206558,1.536967929,0.310411086,0.693771705,0.12146841,0.738552896,0.116582386
1,CA,Chaucha,Shutte et al ,319720.0284,87613.82191,23202.92148,7441.000016,23845.86051,30830.50944,14504.63495,2544.028347,305.7988026,492,7.2,8.032935248,18.23697509,2.218053971,9.413233151,2.071137695,0.636569828,1.968269947,0.351412235,1.941542755,0.397342798,1.130143204,0.188799719,1.319966988,0.212087961
1,CA,Chaucha,Shutte et al ,342454.1444,78634.42853,8112.48874,4640.492718,24184.58385,32276.42271,3685.481625,1123.453991,305.6215602,329,4.6,5.260617586,9.355866426,0.887251294,4.319566737,0.93860827,0.47022635,0.633851057,0.114488369,0.780902922,0.098742591,0.452888612,0.062400519,0.536645182,0.105308003
1,CA,Chaucha,Shutte et al ,343125.5271,79942.77001,8790.131193,5525.883391,23590.57794,30481.20522,3435.423657,1240.1387,228.9256885,307,1.7,3.611097228,5.491350095,0.467080553,1.659334274,0.282604607,0.406896874,0.329636431,0.029734458,0.203300434,0.057892215,0.221102661,0.016746466,0.251183373,0.036735433
0,CA,Chaucha,Shutte et al ,267198.666,97846.2405,61145.55139,18101.72121,56332.77204,19466.78213,6188.514836,3991.351076,1385.606574,395,19.5,7.166372444,14.87669076,2.03206498,9.367731251,2.549828624,0.774709264,2.849499095,0.425858291,2.998696763,0.658391706,1.896316747,0.267023531,1.883217232,0.329269083
0,CA,Chaucha,Shutte et al ,307509.1679,82662.27939,39952.9169,13651.0954,33558.35278,17086.97771,13622.35995,3436.30901,535.9009929,320,19.9,16.88684935,32.82831475,4.022661039,15.22869986,3.3694397,0.795798498,3.31651037,0.465151144,3.081250458,0.627160331,2.035332842,0.266308526,1.844833755,0.312699745
0,CA,Chaucha,Shutte et al ,286824.2859,88612.24064,52457.38299,19290.98908,35525.28073,17598.08818,13237.26895,3834.570166,304.9198009,270,18.5,9.598002038,21.49834911,2.558258373,11.43531138,2.770359651,0.667219021,3.119995891,0.400499113,3.063133752,0.639533542,1.82628493,0.278970953,1.852113803,0.288773705
1,CA,Chuquicamata,Ballard,302477.1371,79758.07946,13988.37794,7236.430762,37807.14156,32196.61446,36526.50219,1438.422955,387.2288176,753,5.83,18.5,33.5,3.53,12.5,2.05,0.51,1.4,0.18,1.12,0.2,0.59,0.097702116,0.68,0.11
