Si,Al,Fe,Mg,Ca,Na,K,Ti,Mn,Sr,Y,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu
232735.847,79228.82877,60241.12527,52102.30149,63250.13285,20252.7091,16768.98509,5094.414631,1703.806797,752,16.3,15.7,37.8,4.78,20,4.2,1.17,3.74,0.6,2.92,0.52,1.62,0.22,1.42,0.21
266437.9047,91084.0443,42285.38341,20503.22049,48956.31752,28413.14133,17516.11809,3356.320227,1394.023743,1062,15.8,23.9,50.5,5.24,18.5,3.5,1.14,2.94,0.51,2.44,0.5,1.45,0.25,1.59,0.24
289529.1898,94947.57436,21919.99655,7779.163069,36878.04356,33680.32942,15938.83732,1917.897273,929.3491622,1391,11.2,29.1,52.7,5.33,17.4,3.1,0.88,2.13,0.37,1.94,0.34,1.09,0.2,1.26,0.2
301962.9587,93148.122,19043.96863,4643.376406,22727.16638,34867.30138,28889.14264,1498.357244,851.9033987,1091,12.6,50.8,94.1,8.53,26,4,1.13,2.49,0.35,1.86,0.38,1.1,0.19,1.34,0.22
229473.6679,88449.47584,73533.03807,44621.32256,36418.22226,37150.77778,648.2991663,9185.548261,1436.419638,1630.405,20.053,24.39,47.384,5.569,22.578,4.568,1.489,4.219,0.614,3.94,0.741,2.042,0.287,1.955,0.264
213956.1585,87099.06819,90245.09217,38711.39442,70764.862,15080.59506,1049.664418,14165.54707,1431.208746,483.6666667,19.86666667,13.9,30.93333333,3.966666667,18.13333333,4.546666667,1.596666667,4.676666667,0.667,4.093333333,0.759,1.993333333,0.264333333,1.726666667,0.229333333
215153.2377,80554.59943,103381.544,26906.53879,60394.71249,15762.16438,2164.670838,20837.73727,1645.481642,471.3333333,33.33333333,30.6,65.86666667,8.193333333,37.03333333,8.303333333,2.716666667,8.266666667,1.193333333,7.006666667,1.24,3.39,0.445333333,2.74,0.402
218974.8357,84052.09817,86358.56796,43425.20267,68852.5985,15593.41359,1454.102038,14230.89318,1281.190044,489.3333333,23.33333333,20,41.6,5.146666667,22.23333333,5.743333333,2.016666667,5.356666667,0.806333333,5.003333333,0.901,2.2,0.304666667,1.913333333,0.283
236255.8721,82971.03853,73299.84661,39781.01062,64965.30721,19431.57379,1610.679531,8430.767252,1051.839403,490.6666667,17.23333333,12,25.1,3.146666667,14.5,3.59,1.3,3.77,0.549666667,3.493333333,0.675,1.703333333,0.237,1.586666667,0.22
212464.8931,85344.16048,81228.356,47122.88923,66920.00057,16408.19134,13912.27754,13139.3009,1509.183464,566.861,21.294,25.49266667,49.279,5.956,24.81166667,5.482333333,1.798,4.873666667,0.686333333,4.230666667,0.742333333,2.188333333,0.348666667,1.941666667,0.286
243296.5348,86061.97277,70579.27967,32686.75229,57721.59674,21382.82619,10208.04158,10258.91944,2437.949204,426.8896667,19.903,21.15066667,40.878,4.821,19.52366667,4.587666667,1.437333333,4.150333333,0.635,3.751333333,0.713,2.078666667,0.304666667,1.857333333,0.274666667
236722.7559,80656.5971,69024.66998,44301.13642,54947.35163,26307.58389,9812.838263,9133.848901,1286.176142,503.8443333,17.58233333,18.429,37.60166667,4.525333333,17.96033333,4.140666667,1.322666667,4.015,0.578,3.781666667,0.657,1.898333333,0.287666667,1.731,0.248
228098.3582,95688.18444,84337.57537,20495.435,42312.06416,37117.93364,5791.793182,11230.33751,1852.54388,933.586,20.772,30.11033333,67.647,8.208,32.923,6.179666667,1.653333333,4.745666667,0.622333333,4.179666667,0.763333333,1.944333333,0.278333333,1.898666667,0.256
311366.6473,90507.23175,31558.57659,4299.373451,18966.29381,32175.41052,19399.78518,2077.174182,1227.007331,690,19.5,41.9,81.5,8.73,31.23333333,5.413333333,1.433333333,3.856666667,0.528333333,3.213333333,0.714333333,1.896666667,0.323333333,2.126666667,0.357
327818.4621,79627.0389,24018.71962,3727.732543,18455.58543,17529.87076,41880.88175,1971.96496,463.2962711,182.6666667,19.46666667,27.9,56.86666667,5.97,22.5,4.176666667,0.839,3.463333333,0.521666667,3.393333333,0.697,1.943333333,0.326666667,2.2,0.351
280824.4006,94354.13116,48348.36118,6548.13446,38661.65743,24386.33018,23109.27156,4141.475929,764.5033686,355.3333333,30.96666667,33,68.3,7.76,31.36666667,6.44,1.57,5.88,0.854666667,5.656666667,1.143333333,3.22,0.470333333,3.236666667,0.513333333
221909.9347,76699.84524,71978.42838,58477.00311,75490.93085,19770.50781,2745.245005,6936.958696,1506.518416,437.1606667,17.476,12.52,27.27466667,3.449333333,15.45166667,3.516,1.159,3.292666667,0.552333333,3.207,0.637666667,1.932,0.233666667,1.793,0.269
270210.589,97939.86796,52079.42442,11195.13942,41991.71665,27764.39278,16231.14254,6332.681313,1529.523502,710.2006667,26.47433333,25.17066667,50.66766667,5.955333333,26.144,5.429,1.497,5.317,0.762333333,4.871,1.034333333,2.897333333,0.448333333,2.631,0.393333333
234805.1318,83261.72233,74698.99533,34675.25632,61678.31399,20057.09232,3903.328125,9569.767389,1137.960897,436.48,21.789,15.15,32.799,4.02,17.253,4.193,1.341,4.4,0.629,4.541,0.888,2.187,0.312,2.084,0.301
247016.3719,82750.11723,68791.47853,26492.31519,53774.3189,24388.78484,11533.84633,9558.579904,1591.282796,457.281,24.732,28.578,59,6.758,27.275,5.491,1.574,5.234,0.758,4.771,0.934,2.485,0.363,2.435,0.353
262264.052,84469.90661,70423.8187,16353.98559,43071.11385,26601.454,17510.21124,11317.48412,2022.496114,418.823,30.122,35.717,75.553,8.344,32.625,7.273,1.957,6.515,0.95,5.938,1.114,3.235,0.45,3.16,0.45
359557.1716,68230.17114,4663.829053,180.7963792,428.5433278,25503.76131,38660.4265,479.1711526,77.39679456,19.857,37.492,20.355,53.086,4.693,16.818,4.61,0.125,4.805,0.9,6.304,1.207,3.695,0.603,3.997,0.614
